name,stars,language,topics,description,last_updated,readme,clasificacion_ia
gsd-build/gsd-browser,226,Rust,,"A fast, native browser automation CLI built from the ground up for AI agents, powered by Chrome DevTools Protocol. 63 commands covering n…",Updated 6 days ago,,AI Agent (General)
RealZST/HarnessKit,224,Rust,developer-tools; cursor; codex; cli-tools; skill-manager,"More than a skill manager — manage skills, MCP servers, plugins, hooks, CLIs, configs, memory & rules across every AI coding agent. 🌟 Sta…",Updated 3 hours ago,,MCP / Tools Protocol
mattermost/mattermost-plugin-agents,223,Go,ai; mattermost; mattermost-plugin; llm,Mattermost Agents plugin supporting multiple LLMs,Updated yesterday,,AI Agent (General)
embedding-shapes/one-agent-one-browser,223,Rust,browser; ai; agents; llm; anti-coordination,"One from scratch browser built by one human and one agent, working hand in hand",Updated on Jan 27,,Browser / Web Automation
Lichas/maxclaw,222,Go,go; ai-agents; openclaw,"OpenClaw-Style Local-First AI Agent in Go - Low-Memory, Private, UI-Ready, Out-of-the-Box",Updated 3 days ago,,AI Agent (General)
cprobe/catpaw,222,Go,,"A lightweight monitoring agent that detects anomalies, auto-diagnoses root causes with AI, and lets you troubleshoot interactively via chat",Updated on Apr 7,,Network Observability
jahala/tilth,220,Rust,cli; ai-agents; context-engineering,Smart(er) code reading for humans and AI agents. Reduces cost per correct answer by ~40% on average. Install: cargo install tilth -or- np…,Updated yesterday,,AI Agent (General)
AkaraChen/aghub,212,Rust,ai; mcp; opencode; configuration-management; assistant,One hub for every AI coding agent. Unified configuration management for 22+ assistants.,Updated 6 hours ago,,AI Agent (General)
VersusControl/ai-infrastructure-agent,210,Go,infrastructure; aws; devops; ai; mcp,AI Infrastructure Agent is an intelligent system that allows you to manage AWS infrastructure using natural language commands.,Updated on Mar 4,,AI Agent (General)
smart-mcp-proxy/mcpproxy-go,209,Go,docker; cli; golang; security; ai,"Supercharge AI Agents, Safely",Updated yesterday,,MCP / Tools Protocol
varun29ankuS/shodh-memory,209,Rust,rust; robotics; mcp; knowledge-graph; ros2,"Cognitive memory for AI agents — learns from use, forgets what's irrelevant, strengthens what matters. Single binary, fully offline.",Updated yesterday,,AI Agent (General)
fy0/CodeKanban,207,Go,terminal; kanban; codex; aiprogramming; coding-agents,Manage all your terminals and ai coding agents from one unified page.,Updated 3 days ago,,CLI / Terminal Tools
DecapodLabs/decapod,205,Rust,rust; ai; kernel; orchestration; control-plane,"Decapod is the daemonless, local-first control plane agents call on demand to converge on human intent, shape context before inference, e…",Updated 5 days ago,,AI Agent (General)
hiroppy/tmux-agent-sidebar,202,Rust,,A tmux sidebar that monitors AI coding agents across all windows and sessions in real-time,Updated 20 hours ago,,Network Observability
Enriquefft/openclaw-kapso-whatsapp,198,Go,go; ai; chatbot; whatsapp; kapso,Give your OpenClaw AI agent a WhatsApp number. Official Meta Cloud API via Kapso. No ban risk.,Updated on Mar 29,,AI Agent (General)
robcholz/vibebox,197,Rust,agent; rust; cli; ai; sandbox,"Ultrafast CLI on Apple Silicon macOS for fast, sandboxed development and LLM agents.",Updated on Feb 18,,CLI / Terminal Tools
LightningRAG/LightningRAG,196,Go,go; agent; golang; ai; vue,"LightningRAG is a full-stack Vue + Gin starter with a decoupled frontend and backend, plus built-in, extensible RAG (retrieval-augmented …",Updated 22 days ago,,Memory / Knowledge / RAG
ourmem/omem,193,Rust,rust; opencode; persistent-memory; vector-search; ai-agent,Shared Memory That Never Forgets — persistent memory for AI agents with Space-based sharing across agents and teams. Plugins for OpenCode…,Updated on Apr 2,,Memory / Knowledge / RAG
aduermael/herm,190,Go,terminal; ai; sandbox; containerization; ai-agents,Terminal-native AI coding agent running in containers.,Updated 4 days ago,,CLI / Terminal Tools
rsclaw-ai/rsclaw,187,Rust,,🦀 AI Agent Engine with Long-Term Memory and Self-Learning & One-Click OpenClaw Migration,Updated 13 hours ago,,AI Agent (General)
smartcomputer-ai/agent-os,186,Rust,,Build autonomous AI agents! 🌞,Updated 5 days ago,,AI Agent (General)
pantalk/pantalk,186,Go,ai; gemini; copilot; codex; ai-agents,Give your AI agent a voice on every chat platform.,Updated on Mar 2,,AI Agent (General)
xalgord/xalgorix,185,Go,security; ai; technology; cybersecurity; bug-bounty,Xalgorix - The Most Powerful Open-Source AI Pentesting Agent,Updated 7 hours ago,,Security / Pentesting
ckanthony/openapi-mcp,185,Go,,Dockerized MCP Server to allow your AI agent to access any API with existing api docs,Updated on Mar 21,,MCP / Tools Protocol
m-mizutani/gollem,185,Go,go; ai-agents; llm,Go framework for agentic AI app with MCP and built-in tools,Updated 1 hour ago,,AI Agent (General)
kontext-security/kontext-cli,185,Go,cli; golang; security; ai; mcp,Open-source CLI for AI coding agents. Give your coding agents access to services without exposing keys.,Updated 6 days ago,,CLI / Terminal Tools
Talus-Network/nexus-sdk,184,Rust,cli; sdk; ai; blockchain; sui,"The Nexus SDK is a set of tools to help facilitate developers building with Nexus, the Agentic Workflow Engine, to build Talus agents or …",Updated 8 hours ago,,AI Agent (General)
liuxiaopai-ai/ralph-desktop,181,Rust,codex; claude-code; ai-coding-agent; ralph-wiggum; ralph-loop,Ralph Desktop - Start vague. Ralph Loop until perfect. A visual controller for AI coding agents that helps you brainstorm requirements an…,Updated on Feb 27,,AI Agent (General)
codeany-ai/codeany,179,Go,,Open-source AI-powered terminal agent. Built in Go.,Updated on Apr 3,,CLI / Terminal Tools
nguyenduchoai/bizclaw,179,Rust,bizino; bizclaw,"BizClaw là nền tảng AI Agent kiến trúc trait-driven chạy trên điện thoại android . Hỗ trợ nhiều LLM provider, kênh giao tiếp, và công cụ …",Updated 5 days ago,,AI Agent (General)
beam-cloud/airstore,178,Go,fuse; ai; filesystem; context; llm,The filesystem for AI agents,Updated 11 days ago,,AI Agent (General)
realtime-ai/realtime-ai,177,Go,,A real-time Agent framework for audio and video.,Updated on Feb 17,,AI Agent (General)
diggerhq/opencomputer,177,Go,,Secure cloud computers for AI agents.,Updated 19 hours ago,,AI Agent (General)
GreyhavenHQ/greywall,175,Go,macos; linux; security; sandbox; opencode,"Container-free, deny-by-default sandbox for AI coding agents. Kernel-enforced filesystem, network, and syscall isolation for Linux and macOS",Updated 15 days ago,,Infrastructure / DevOps
babelcloud/gbox,174,Go,android; linux; agent; browser; mcp,Cli and MCP for gbox. Enable AI agents to operate Android/Browser/Desktop like human.,Updated on Feb 10,,AI Agent (General)
huanchong-99/SoloDawn,172,Rust,,"GitCortex delivers production-grade software directly from social media conversations. It actively resolves ambiguity, architects solutio…",Updated 2 days ago,,AI Agent (General)
mattolson/agent-sandbox,171,Go,agents; agent-sandbox; coding-agents; agent-harness,Secure local dev environment for collaboration with AI coding agents,Updated 7 days ago,,AI Agent (General)
SaynaAI/sayna,169,Rust,text-to-speech; speech-to-text; ai-agents; voice-synthesis; voice-ai,Sayna is a unified Voice Layer for AI Agents with a seemless integration to an existing agentic frameworks,Updated 9 days ago,,AI Agent (General)
erans/lunaroute,168,Rust,agent; ai; codex; claude; aiagent,"LunaRoute is a high-performance local proxy for AI coding assistants like Claude Code, OpenAI Codex CLI, and OpenCode. Get complete visib…",Updated 12 days ago,,CLI / Terminal Tools
AkihiroSuda/alcless,166,Go,,"🍺 Alcoholless: lightweight security sandbox for Homebrew, AI agents, etc. on macOS",Updated 3 days ago,,AI Agent (General)
kdlbs/kandev,165,Go,golang; open-source; nextjs; tui; self-hosted,"AI Kanban & Development Environment. Orchestrate multiple agents, review changes, open PRs. Multi-provider, self-hostable, no telemetry.",Updated 11 hours ago,,Agent Orchestration / Workflow
qntx/erc8004,164,Rust,ethereum; alloy; trustless; agentic-ai; erc8004,Rust SDK for ERC-8004: Onchain AI agent execution registry.,Updated 5 days ago,,AI Agent (General)
dtormoen/tsk-tsk,164,Rust,rust; ai; sandbox; agents; codex,Keeping your agents out of trouble with sandboxed coding agent automation,Updated 17 days ago,,AI Agent (General)
kelos-dev/kelos,162,Go,kubernetes; ai; opencode; ci-cd; gemini,Kelos - The Kubernetes-native framework for orchestrating autonomous AI coding agents.,Updated 4 hours ago,,Agent Orchestration / Workflow
opper-ai/opperator,162,Go,,Opperator is a framework for building and running general AI agents locally from your terminal,Updated on Mar 28,,Agent DevKit / SDK
Dicklesworthstone/meta_skill,162,Rust,rust; cli; mcp; developer-tools; ai-agents,"Local-first skill management platform for AI coding agents: dual SQLite+Git persistence, semantic search, bandit-optimized suggestions, a…",Updated 5 hours ago,,AI Agent (General)
voocel/ainovel-cli,160,Go,go; ai; openai; novel; agents,✨多agent实现全自动AI小说生成,Updated 20 hours ago,,AI Agent (General)
PlatformNetwork/harness-challenge,158,Rust,,"[🖥️] term-challenge is a challenge project from the Platform subnet, where developers run and monetize their terminal-based AI agents. Ag…",Updated on Mar 31,,AI Agent (General)
pgEdge/pgedge-postgres-mcp,157,Go,postgres; ai; server; mcp; postgresql,pgEdge MCP Server. A PostgreSQL MCP server with a Natural Language Agent CLI and Web UI.,Updated yesterday,,MCP / Tools Protocol
wgpsec/redc,157,Go,agent; infrastructure; automation; cloud; tools,Next-generation IaC tools | 下一代基础设施管理工具,Updated 4 days ago,,Security / Pentesting
brekkylab/ailoy,151,Rust,,A comprehensive library for building intelligent AI agents and applications,Updated yesterday,,AI Agent (General)
wesm/kata,151,Go,,"Local-first issue tracking for AI-assisted software work, with an agent-friendly CLI and human-facing TUI",Updated 23 hours ago,,CLI / Terminal Tools
paiml/paiml-mcp-agent-toolkit,150,Rust,kotlin; python; c; rust; typescript,Pragmatic AI Labs MCP Agent Toolkit - An MCP Server designed to make code with agents more deterministic,Updated 3 days ago,,MCP / Tools Protocol
AgenticGoKit/AgenticGoKit,149,Go,golang; framework; ai; mcp; multi-agent,"Open-source Agentic AI framework in Go for building, orchestrating, and deploying intelligent agents. LLM-agnostic, event-driven, with mu…",Updated 14 days ago,,Agent Orchestration / Workflow
stellarlinkco/agentsdk-go,148,Go,,Build AI agents in light speed,Updated 7 hours ago,,AI Agent (General)
severity1/claude-agent-sdk-go,147,Go,go; golang; sdk; ai; developer-tools,Unofficial Go SDK for Claude Code CLI integration. See the Claude Agent SDK documentation for more information. This project has been ren…,Updated 9 hours ago,,CLI / Terminal Tools
m4xxxxx/AIxVuln,147,Go,,一个基于LLM的多Agent全流程漏洞挖掘项目，支持PHP、Java、Python、Go、Node.js等多种语言项目环境搭建、漏洞分析、漏洞验证、报告产出。支持多Agent并发高效率沟通完成漏洞挖掘任务。,Updated 14 days ago,,AI Agent (General)
clawvisor/clawvisor,146,Go,,"API gateway for purpose-based authorization for AI agents. Human approval for tasks, AI-native enforcement for agents.",Updated 4 hours ago,,AI Agent (General)
clawfleet/ClawFleet,146,Go,docker; open-source; automation; ai; telegram-bot,"Deploy a fleet of AI agents (OpenClaw, Hermes) on your machine in 10 minutes — use your ChatGPT subscription, no cloud bills. Open-source…",Updated 12 days ago,,AI Agent (General)
illegalstudio/lazyagent,145,Go,cli; golang; terminal; ai; opencode,"Monitor all your coding agents from one terminal - Claude Code, Cursor, OpenCode, pi and more",Updated 4 days ago,,CLI / Terminal Tools
regenrek/peky,143,Go,cli; project-manager; tui; multi-agent; ai-coding,"All your AI Agents like Claude Code, Codex CLI in a single TUI to keep things organized.",Updated on Jan 29,,AI Agent (General)
ZhangHanDong/mempal,142,Rust,agent; memory-management,AI Agent Memory,Updated 4 days ago,,AI Agent (General)
sammcj/mcp-devtools,142,Go,ai; mcp; devtools; coding; cline,A modular MCP server that provides commonly used developer tools for AI coding agents,Updated 9 hours ago,,MCP / Tools Protocol
parcadei/ouros,140,Rust,,"A sandboxed Python runtime for AI agents, written in Rust.",Updated 17 days ago,,Agent Runtime / Sandbox
rhino-acoustic/NeuronFS,140,Go,multi-agent; file-system; ai-safety; guardrails; model-agnostic,"A filesystem-native governance layer for AI agents. Folders are rules, counters are activation, Git is the audit trail.",Updated 3 days ago,,AI Agent (General)
yantrikos/yantrikdb-server,140,Rust,rust; open-source; database; memory; clustering,"Cognitive memory database for AI agents — consolidates duplicates, detects contradictions, fades stale memories via temporal decay. Rust,…",Updated yesterday,,AI Agent (General)
nwiizo/ccswarm,139,Rust,,Multi-agent orchestration system using Claude Code with Git worktree isolation and specialized AI agents for collaborative development,Updated on Mar 5,,Agent Orchestration / Workflow
steipete/brabble,138,Go,ai; talk,"""Hey, Computer"" from Star Trek. Talk to your agent. Run hooks after trigger comands. Runs locally, cause shit's scary.",Updated 6 days ago,,AI Agent (General)
voltropy/mog,136,Rust,,Programming language for safe AI agents,Updated on Mar 9,,AI Agent (General)
dynatrace-oss/dtctl,133,Go,cli; devops; monitoring; developer-tools; dynatrace,CLI for managing Dynatrace platform resources - built for humans and AI agents alike,Updated yesterday,,CLI / Terminal Tools
mnemon-dev/mnemon,132,Go,cli; golang; memory; sqlite; mcp,"LLM-supervised persistent memory for AI agents — graph-based recall, cross-session knowledge, single binary. Works with Claude Code, Open…",Updated 21 hours ago,,Memory / Knowledge / RAG
devwhodevs/engraph,131,Rust,rust; mcp; knowledge-graph; obsidian; semantic-search,Local knowledge graph for AI agents. Hybrid search + MCP server for Obsidian vaults.,Updated 18 days ago,,MCP / Tools Protocol
wardgate/wardgate,131,Go,security; api-gateway; agentic-workflow; agentic-ai; openclaw,Security gateway for AI agents - credential-isolated API proxying and policy-gated remote execution (conclaves). Reduce the blast radius!,Updated on Mar 11,,AI Agent (General)
QingJ01/Clyde,130,Rust,,A desktop pet that reacts to your AI coding agent sessions in real-time.,Updated 22 days ago,,AI Agent (General)
m7medVision/lazycommit,129,Go,agent; cli; golang; neovim; copilot,AI for generating commit message and PR title,Updated 1 hour ago,,AI Agent (General)
k4cper-g/agent-ctrl,128,Rust,,Desktop automation CLI for AI agents. Fast native Rust CLI.,Updated 1 hour ago,,AI Agent (General)
madebyaris/native-cli-ai,127,Rust,rust; cli; automation; ai; desktop,"A native Rust CLI for orchestrating AI agents across projects, with persistent sessions, worktrees, and local-first control.",Updated 25 days ago,,Agent Orchestration / Workflow
SleuthCo/clawshield-public,127,Go,go; reverse-proxy; ebpf; ai-agents; vulnerability-scanning,"Security proxy for AI agents. Scans every message for prompt injection, PII, and secrets. Defense-in-depth: Go proxy + iptables firewall …",Updated on Mar 26,,Security / Pentesting
glitchedgitz/grroxy,126,Go,toolkit; proxy; pentest; cyber,A cyber security toolkit blending manual testing with AI Agents,Updated 8 hours ago,,Security / Pentesting
kevinelliott/agentpipe,124,Go,ai; cli-app; grok; ai-agents; tui-app,"A CLI/TUI app that orchestrates multi-agent conversations by enabling different AI CLI tools (Claude Code, Gemini, Qwen, etc.) to communi…",Updated on Mar 30,,Agent Orchestration / Workflow
deepnoodle-ai/dive,123,Go,golang; ai; openai; agents; ai-agents,Use Dive to quickly build AI agents in Go. Build agentic CLIs or add AI to your backend Go services. Easily customized and embedded in la…,Updated 4 days ago,,AI Agent (General)
stephnangue/warden,122,Go,go; aws; security; azure; gcp,The secure gateway connecting AI agents to enterprise systems.,Updated yesterday,,AI Agent (General)
junhoyeo/contrabass,122,Go,golang; tui; openai; symphony; harness,🎸 A project-level orchestrator for AI coding agents — Go & Charm stack implementation of OpenAI's Symphony,Updated on Mar 31,,Agent Orchestration / Workflow
opencrust-org/opencrust,121,Rust,rust; open-source; ai; telegram-bot; chatbot,"🦀 Personal Multi-agent AI assistant platform, written in Rust — multi-agent, self-learning skills, RAG, MCP, and agentskills.io compatible",Updated 3 days ago,,AI Agent (General)
mathomhaus/guild,120,Go,golang; sqlite; mcp; cursor; codex,"Shared context, memory, and task coordination across AI coding agents. Single Go binary, local SQLite, hybrid keyword and semantic search.",Updated yesterday,,Memory / Knowledge / RAG
aspasskiy/GoGogot,119,Go,bash; lightweight; golang; productivity; automation,Lightweight self-hosted AI agent. Open-source OpenClaw alternative in Go.,Updated on Mar 21,,AI Agent (General)
tuyoogame/tyclaw.rs,119,Rust,,企业级AI Agent的Rust实现，支持沙箱隔离，审计安全，使用统计，钉钉接入等实用功能。,Updated 13 days ago,,AI Agent (General)
Dicklesworthstone/coding_agent_account_manager,118,Go,go; cli; authentication; developer-tools; ai-agents,"Sub-100ms auth switching for AI coding CLIs (Claude Code, Codex, Gemini): swap subscription accounts instantly when you hit usage limits",Updated 3 days ago,,AI Agent (General)
safedep/gryph,118,Go,security; ai-agents; ai-developer-tools; gemini-cli; claude-code,"Security layer for AI coding agents. Works with Claude Code, Cursor, Windsurf, Gemini CLI, OpenCode, Pi Agent and more.",Updated 2 days ago,,CLI / Terminal Tools
yuanchuan/aivo,118,Rust,codex; github-copilot; openrouter; gemini-cli; claude-code,Aivo is a command-line tool that connects your coding agent to almost any model. It also includes built-in models out of the box — no API…,Updated 4 hours ago,,CLI / Terminal Tools
Agent-FM/agentfm-core,117,Go,python; go; gpu; decentralized; p2p,AgentFM is a peer-to-peer network that turns everyday computers into a decentralized AI supercomputer. AgentFM lets you run massive AI wo…,Updated 7 days ago,,Network Observability
agent-sandbox/agent-sandbox,117,Go,agent; mcp; sandbox; container; kubernetes-native,Agent-Sandbox is an E2B compatible easy-to-use enterprise-grade sandboxes for AI Agents. Allows Agents to securely run untrusted LLM-gene…,Updated 11 days ago,,AI Agent (General)
subinium/agf,117,Rust,rust; cli; terminal; fuzzy-search; tui,"AI Agent Session Finder — TUI to find, resume and manage sessions across Claude Code, Codex, Gemini, Kiro, OpenCode, Cursor, pi, Hermes",Updated 5 days ago,,AI Agent (General)
Goldziher/ai-rulez,116,Go,cli; golang; yaml; documentation; ai,"Complete AI development workflow for 19+ tools. Builtin rules, agents, and conventions out of the box. Generate native configs for Claude…",Updated 5 days ago,,Agent Orchestration / Workflow
madeye/mcp-cli,116,Rust,,a prototype to save fork/exec overhead of ai code agent,Updated 4 days ago,,CLI / Terminal Tools
eljulians/skillfile,116,Rust,dotfiles; rust; cli; productivity; package-manager,"One-stop shop for AI skills and agents. Search 110K+ community skills, install and track them declaratively, and deploy across all major AI…",Updated 2 days ago,,AI Agent (General)
msmps/pilotty,115,Rust,,Daemon-managed PTY sessions for AI agents to interact with terminal applications,Updated on Jan 30,,AI Agent (General)
this-rs/project-orchestrator,115,Rust,,"A Rust-based AI agent orchestrator with Neo4j knowledge graph, Meilisearch semantic search, and Tree-sitter code parsing.",Updated yesterday,,AI Agent (General)
noh-rs/nohrs,115,Rust,,"Nohrs Explorer: Develop a fast, flexible, and extensible file explorer using Rust and gpui as a modern alternative to macOS Finder, aimin…",Updated on Mar 7,,AI Agent (General)
InnerWarden/innerwarden,114,Rust,linux; rust; security; kernel; honeypot,"The security agent that fights back. Watches your Linux server from inside, detects threats with kernel-level eBPF, and stops them with o…",Updated 1 hour ago,,Security / Pentesting
ashishb/amazing-sandbox,112,Go,devops; developer-tools; security-tools,Amazing Sandbox - run third-party tools and AI agents securely on your machine,Updated 3 days ago,,AI Agent (General)
wiseaidotdev/autogpt,112,Rust,agent; rust; sdk; ai; jupyter-notebook,🦀 A Pure Rust Framework For Building AGI.,Updated 2 days ago,,AI Agent (General)
mathematic-inc/earl,111,Rust,graphql; rust; cli; http; security,"Secure CLI proxy for AI agents — HCL-defined operation templates with OS keychain secrets, MCP integration, and prompt injection protection",Updated on Mar 10,,AI Agent (General)
dredozubov/hazmat,111,Go,go; macos; cli; security; sandbox,"macOS containment for AI agents — user isolation, kernel sandbox, pf firewall, DNS blocklist, backup/rollback. TLA+ verified.",Updated 3 days ago,,AI Agent (General)
clearloop/walrus,110,Rust,agent; ai; agentic; agentic-workflow; openclaw,Core abstractions for your agentic workflow,Updated on Mar 10,,AI Agent (General)
mco-org/squad,110,Rust,,Multi-AI agent terminal collaboration tool,Updated 11 days ago,,AI Agent (General)
soth-ai/mcp-reticle,110,Rust,agent; debugging; security; devops; awesome,"Reticle intercepts, visualizes, and profiles JSON-RPC traffic between your LLM and MCP servers in real-time, with zero latency overhead. …",Updated on Jan 6,,MCP / Tools Protocol
fronalabs/frona,108,Rust,ai; personal; assistant; agents,"Frona is a personal AI assistant. You create autonomous agents, give them tools, and talk to them through a chat interface. Agents act on…",Updated 12 hours ago,,AI Agent (General)
permit0-ai/permit0,107,Rust,rust; mcp; compliance; ai-safety; policy-engine,"Stop AI agents from doing things they shouldn't. The action authorization layer — pre-execution, deterministic, policies included. Drop i…",Updated yesterday,,AI Agent (General)
step-security/dev-machine-guard,103,Go,,"Scan your dev machine for AI agents, MCP servers, IDE extensions, and suspicious packages - in seconds.",Updated 2 days ago,,MCP / Tools Protocol
EdoardoBambini/IAGA-Sentinel,103,Rust,,"AI agents are getting tool access — shell, file system, databases, APIs, secrets. But **nobody is governing what they actually do with it…",Updated 6 days ago,,AI Agent (General)
zunor/paro,102,Rust,rust; sql; database; storage-engine; postgresql,"An AI-native multi-model database unifying SQL, vector, full-text, graph, and sandboxed Python — for transactional, analytical, and agent …",Updated 7 days ago,,Database / Data Warehouse
The-17/agentsecrets,101,Go,security; devops; ai; developer-tools; ai-agents,"Zero-knowledge secrets infrastructure built for AI agents to operate, not just consume.",Updated 2 hours ago,,Security / Pentesting
arkylab/aspm,101,Rust,package-manager; skill; claude; skill-manager; claude-code,"A Git-based package manager designed for AI-assisted development, similar to npm but supporting skills, agents, commands, hooks, and any AI…",Updated 7 days ago,,AI Agent (General)
chenhg5/agencycli,101,Go,,"Lightweight CLI to build self-managing AI agent teams. Define roles, skills & projects in Markdown+YAML — agents run autonomously on a he…",Updated 21 hours ago,,AI Agent (General)
